Delivery_person_Age,Delivery_person_Ratings,label_Weatherconditions,label_Road_traffic_density,Vehicle_condition,label_Type_of_order,label_Type_of_vehicle,label_City,multiple_deliveries,Geo_distance
37,4.9,4,2,2,3,1,2,0,3.020736643461066
34,4.5,3,3,2,3,2,0,1,20.143736910348597
23,4.4,2,0,0,1,1,2,1,1.5496929322394055
38,4.7,4,1,0,0,1,0,1,7.774496620087613
32,4.6,0,2,1,3,2,0,1,6.197897916874956
22,4.8,0,3,0,0,1,2,1,4.602205335871527
33,4.7,1,3,1,2,2,0,1,16.576886807242534
35,4.6,0,1,2,2,1,0,1,20.164987511903334
22,4.8,3,3,0,0,1,0,1,19.940219401607525
36,4.2,1,3,2,3,1,0,3,10.27146402322959
21,4.7,3,2,1,2,1,0,1,6.229376076976494
23,4.7,2,1,1,1,2,0,1,13.764305929575334
34,4.3,2,0,0,0,1,0,0,2.9277947281095997
24,4.7,1,3,1,3,2,0,1,19.373484088636204
29,4.5,2,3,2,0,0,0,1,13.74093223440384
35,4.0,5,2,1,2,2,0,1,6.205589948339296
33,4.2,2,3,2,3,1,0,1,16.821191645783845
21,4.7,5,3,0,2,1,2,1,4.533895591762032
25,4.1,2,3,0,3,1,0,2,12.235136123611104
31,4.7,2,0,2,2,0,0,0,19.590994221235693
37,5.0,2,0,1,3,1,0,1,1.5549501809798034
33,4.3,5,3,2,2,2,0,1,20.14090525524496
25,4.0,0,2,1,0,1,0,1,6.106736943461254
29,4.5,4,1,2,2,0,0,1,17.04198395713103
27,5.0,3,3,0,3,1,2,0,4.465068381023686
35,4.3,0,0,1,1,2,0,0,13.66073757837138
32,4.0,5,3,0,0,1,0,1,13.94563444308926
23,4.8,5,0,2,0,0,2,0,16.82479191121949
31,4.8,2,0,2,1,1,0,1,4.664630782216606
36,4.1,3,0,0,1,1,2,1,7.589769422472331
26,4.3,2,0,0,0,1,2,0,7.705941974795929
38,4.9,0,2,1,1,2,2,1,6.164143763345328
32,3.5,3,3,1,3,2,2,0,17.25937671693666
32,4.6,0,0,2,1,2,0,1,19.880688906108812
33,4.9,4,1,1,3,1,0,1,10.706184356730287
20,4.7,5,2,1,3,2,2,0,6.1173690615583665
20,4.8,2,0,2,2,2,0,1,1.51798712661804
35,5.0,4,0,2,3,2,2,1,3.06801652533814
26,4.9,3,0,2,0,2,0,0,3.0990100939449827
22,4.8,1,0,1,3,1,0,1,10.846013590625741
35,4.3,0,1,1,3,1,0,1,10.844094035054757
37,4.7,2,3,0,3,1,0,3,13.661199383826538
28,4.6,3,3,1,3,2,0,1,16.797998791306554
37,4.9,1,0,1,3,2,2,1,3.0227804656534882
23,4.9,4,3,2,1,0,0,0,9.1598473686937
27,4.9,5,1,1,1,2,0,1,9.296712100181459
37,4.8,0,1,0,1,1,2,1,6.19680534366793
33,5.0,4,2,2,3,2,0,1,1.5179748068736865
31,4.9,1,1,1,3,1,0,1,6.0286740052559145
31,4.8,3,0,2,1,2,0,1,17.044988256333504
25,5.0,0,0,0,3,1,0,0,4.707104052532131
28,4.8,2,3,0,1,1,0,1,12.438888551921162
31,4.7,0,0,2,3,1,0,0,9.107220024938373
24,4.7,4,1,0,0,1,2,0,13.994592406584347
39,4.6,4,0,1,3,1,0,1,13.37733285955016
39,4.2,1,3,2,3,2,1,1,12.552275755914396
36,4.7,0,3,1,3,1,0,1,9.414207472710384
25,4.8,2,0,1,1,2,2,0,11.902753837483976
33,4.9,4,3,2,1,2,0,0,4.654256824131883
30,4.4,0,0,2,1,2,0,1,10.624594799022637
33,5.0,2,0,0,0,1,2,0,16.790293751513897
36,4.9,1,1,2,1,2,0,1,6.118069582492733
21,4.8,2,0,2,2,0,0,0,2.992439854304365
39,4.9,3,3,2,2,1,0,1,7.335684979628507
23,4.8,3,0,1,2,2,0,1,3.138069407388937
35,4.8,1,1,2,0,2,2,1,6.276138627413788
39,4.6,0,3,1,3,2,0,1,13.944598794232533
22,4.7,4,2,1,0,2,2,1,6.071959804867862
32,4.6,1,1,1,2,2,0,0,6.071422120848535
24,4.8,2,0,1,0,1,2,1,12.552275755914396
29,4.7,1,0,0,0,1,0,1,3.138069407388937
26,4.7,1,0,1,0,1,0,0,9.204061108012812
20,4.5,1,3,1,1,1,0,1,7.845173108613386
35,4.1,2,3,1,0,1,0,2,13.942135995521298
39,4.6,1,3,1,1,2,0,2,13.945658037651098
34,4.7,5,2,2,1,0,0,1,6.049848888722569
27,4.7,0,3,2,3,2,0,1,17.04433026158667
30,4.8,5,0,1,3,1,0,1,17.25937671693666
25,4.4,0,1,2,3,2,0,1,17.03932066407865
25,4.7,3,1,0,2,1,2,0,16.790293751513897
30,5.0,3,2,1,0,1,0,1,2.9760382618044683
24,4.6,3,3,1,0,1,0,0,9.204543446314432
25,4.8,5,2,1,3,2,2,1,6.164026189217134
