Delivery_person_Age,Delivery_person_Ratings,label_Weatherconditions,label_Road_traffic_density,Vehicle_condition,label_Type_of_order,label_Type_of_vehicle,label_City,multiple_deliveries,Geo_distance
32,4.9,5,0,2,3,2,2,0,17.12927552767304
36,4.8,1,1,2,0,0,0,1,4.533887355353934
34,4.6,1,3,2,0,0,0,1,7.562215964137628
24,4.5,4,2,1,2,2,0,1,6.198593801100852
38,4.8,3,3,1,0,1,0,1,4.53136514504565
24,4.6,2,3,0,1,1,0,1,12.395333516408236
23,4.8,0,3,2,1,1,2,1,10.883716478923029
36,4.9,4,0,1,0,2,0,1,20.211745361504864
36,3.9,4,3,1,0,1,0,1,12.272430559996877
37,4.7,4,0,2,3,2,2,1,1.5125517325861146
22,4.3,5,0,0,0,1,0,0,4.664736409311615
27,4.6,0,1,0,3,1,0,1,19.939859774062796
30,4.7,1,0,1,0,1,0,1,1.5179864245411605
26,5.0,5,2,2,0,2,0,0,1.5495001864105562
24,4.7,1,0,1,1,2,0,0,7.551467694331561
35,4.6,5,3,1,2,1,2,1,7.845173108613386
22,5.0,5,3,1,0,1,0,0,9.32995691639106
36,4.5,1,0,2,0,2,0,0,20.21236407309343
22,4.8,3,1,2,1,0,0,1,10.624481568766228
33,4.6,4,2,1,1,2,0,1,2.981158708679044
24,4.6,2,3,2,0,1,0,1,11.909501860943355
34,4.9,1,1,1,2,1,0,1,10.706780989771683
22,4.5,4,0,0,1,1,0,1,16.821156587990316
34,5.0,3,0,2,0,2,0,0,13.739189928025109
39,4.8,2,0,1,0,1,0,0,3.0359027903496822
23,4.7,4,0,1,2,1,2,0,1.4880952616573853
23,4.9,3,3,1,1,1,0,1,13.173778789269514
20,4.7,5,0,1,2,2,0,0,4398.041799676338
37,4.7,0,0,0,3,1,0,1,3.1026994267908297
39,3.9,2,3,1,0,2,0,0,12.552275755914396
34,4.7,1,3,0,1,1,0,1,4.664788911693181
29,4.8,1,3,0,1,1,0,0,7.774277168534271
23,4.9,1,1,2,3,2,0,1,10.415979862923049
34,4.5,5,3,2,3,2,2,1,10.84725270716167
20,5.0,3,3,2,2,1,0,1,12.271826004680078
39,4.9,3,3,0,3,1,0,1,12.22056386576591
20,4.6,1,0,1,2,2,2,1,3.1027828005859606
24,5.0,0,3,1,1,2,0,0,9.295709409330447
27,4.9,5,3,0,0,1,0,1,13.993521097863649
37,4.4,1,0,0,1,1,0,1,20.141430602265977
39,3.6,1,0,1,1,1,0,1,20.39744277518833
24,4.8,0,0,0,1,1,0,0,1.549349231718562
35,4.8,2,0,1,3,1,0,0,4.648468135611128
26,4.8,3,0,1,2,2,2,1,13.962610508154095
39,4.6,4,1,0,1,1,0,1,16.611603446539622
31,4.1,3,0,0,1,1,2,0,1.5295675788938714
29,4.4,0,3,1,3,2,0,1,13.945629461520687
38,4.7,2,0,2,1,1,0,1,3.0989710082120365
35,4.7,2,3,2,2,1,0,1,13.761533373676128
28,4.5,0,0,1,0,1,0,1,20.13858887339962
26,4.8,2,1,1,0,1,0,1,7.6353439932837075
39,4.6,3,1,2,3,0,0,0,9.175822274004021
39,4.7,4,3,0,3,1,0,1,9.074436846460618
39,4.8,0,0,1,1,1,0,1,3.0553157793778154
33,4.8,4,0,2,3,0,2,0,1.5104773183413343
30,4.1,2,3,2,2,2,0,1,19.59141340999836
34,5.0,0,0,1,0,2,2,1,3.138069407388937
39,4.0,3,2,2,0,2,0,0,2.975545947584385
35,4.6,5,1,0,2,1,0,1,4.5715756179938145
21,4.7,3,0,1,2,2,2,0,20.39744277518833
22,4.8,2,3,1,0,2,0,0,4.53445887387674
39,4.8,0,0,0,3,1,0,1,4.588614628081121
37,4.7,0,2,2,1,2,0,0,3.1028516424561308
30,4.6,2,2,0,2,1,0,1,1.5514112649058258
25,4.8,1,1,1,0,1,0,1,9.177287951626738
22,4.7,1,3,0,0,1,0,1,4.602180090266072
